time,open,high,low,close,MA,MA,MA,MA,MA,Volume,Volume MA
1607817600,18806.83,19416.64,18628.1,19162.36,18753.137999999988,13389.073281249988,16781.052600000006,18628.70857142859,12071.683299999992,4251.96121032,7388.284669639569
1607904000,19151.82,19346.9,18979.21,19274.33,18813.19499999999,13447.646953124988,16905.757400000006,18671.13619047621,12120.16804999999,3618.37690457,6906.143566094569
1607990400,19274.33,19567.84,19050,19434.87,18840.465999999993,13508.208203124988,17033.120200000005,18684.18476190478,12170.23719999999,6750.77219425,6795.551063056568
1608076800,19434.55,21576.76,19277.66,21365.7,19038.97799999999,13582.197109374989,17187.476200000005,18809.57857142859,12228.54019999999,14974.62184371,6473.032827404068
1608163200,21358.96,23777,21244.04,22814.24,19403.05199999999,13671.42835937499,17378.266400000008,19078.823809523827,12295.38044999999,22626.69253048,7156.110071925068
1608249600,22829.89,23284.68,22360.93,23136.14,19885.02299999999,13761.82515624999,17571.620400000003,19363.669047619067,12360.04294999999,11360.33890442,7500.518724778568
1608336000,23142.05,24217.38,22719.78,23842.99,20413.65799999999,13855.96367187499,17777.237600000008,19654.202380952403,12431.62924999999,8672.0376961,7747.312650613569
1608422400,23842.38,24298.04,23092.77,23470.85,20935.71299999999,13947.300234374989,17970.333000000006,19905.574761904783,12500.63854999999,5095.96264009,7471.477236368568
1608508800,23470.85,24123.83,21864.86,22732.01,21404.91199999999,14032.298749999989,18149.733200000006,20049.947142857163,12565.338999999989,12675.12801873,7515.271953970068
1608595200,22750.07,23843.21,22383.59,23835.1,21906.85899999999,14125.432187499988,18355.160800000005,20291.07428571431,12636.414549999989,9367.60948339,7646.489335425069
1608681600,23819.08,24096.9,22624.92,23247.71,22315.39399999999,14210.973828124988,18539.283400000004,20482.558095238117,12704.303849999991,11541.96937133,7913.761550382568
1608768000,23215,23779.14,22700.1,23726.28,22760.588999999985,14302.91273437499,18730.597200000004,20686.26666666669,12774.18504999999,7185.48205493,7959.950873582568
1608854400,23747.22,24777,23403.82,24705.15,23287.616999999987,14404.06585937499,18912.599400000003,20973.475714285734,12848.79579999999,6469.22897257,8164.576161031569
1608940800,24714.01,26809.5,24485.32,26466.28,23797.67499999999,14518.18234374999,19129.963200000006,21321.290952380976,12932.242999999991,7491.46184626,8413.97654019957
1609027200,26472.89,28377.94,25770,26259.6,24142.21099999999,14633.24374999999,19358.3758,21648.863333333356,13014.06939999999,13234.33412894,8859.52972458057
1609113600,26242.82,27473.49,26079.6,27037.91,24532.387999999984,14753.323515624988,19589.351000000002,22023.35904761907,13102.937649999989,7987.77761059,8959.920293470572
1609200000,27037.9,27395,25831.85,27370,24885.088999999985,14876.17781249999,19830.110200000003,22454.48142857145,13192.47229999999,9577.27829174,8993.43694569107
1609286400,27370,29010.32,27328.37,28881.3,25426.133999999987,15009.92390624999,20101.463200000002,22946.13190476193,13289.51149999999,11741.7333812,9241.30084017907
1609372800,28893.21,29300,27930.75,28992.79,26052.21199999999,15147.923203124989,20367.161200000002,23457.67904761907,13387.825499999988,9477.67661813,9380.788537391072
1609459200,28999.63,29700,28720,29402.64,26608.965999999986,15288.027421874987,20629.214,23998.75619047621,13487.66294999999,8781.46555456,9644.095462815572
1609545600,29410.77,33333,29050,32216.53,27505.847999999987,15451.203437499988,20946.833,24636.89428571431,13601.09409999999,17867.8788985,10324.891347224573
1609632000,32216.51,34800,31977.45,33097.83,28443.002999999986,15619.650703124988,21287.0628,25300.488095238117,13719.27679999999,14160.5812801,10852.001566001072
1609718400,33068.83,33669.76,27734,32005.88,29173.075999999983,15780.073906249989,21607.6706,25906.752380952406,13832.432299999991,22446.94000548,11636.80995656257
1609804800,32054.23,34500,29936.26,34039.05,29930.352999999985,15954.52765624999,21953.959199999998,26602.189523809546,13956.10594999999,14806.49650719,11628.403689736571
1609891200,34081.24,37050.83,33348.27,36849.94,30989.386999999988,16151.363124999989,22337.345400000002,27339.53428571431,14093.57834999999,19219.28788972,11458.033457698572
1609977600,36875.96,40402.46,36327.5,39510.49,32236.644999999982,16366.88289062499,22771.8362,28134.593809523834,14244.715649999991,23102.26120863,12045.12957290907
1610064000,39510.59,42000,36618.36,40667.07,33566.351999999984,16595.54406249999,23228.6682,28969.40000000003,14399.635399999988,22183.95174233,12720.725275220571
1610150400,40682.76,41422.77,38788.16,40239.06,34702.12799999998,16830.53671874999,23659.6964,29750.165238095266,14552.71664999999,8535.84731272,12892.719508852071
1610236800,40239.06,41450,34322.07,38173.73,35620.22199999999,17047.078984374988,24048.671000000002,30450.30238095241,14697.154999999988,16218.9974052,13069.912978175571
1610323200,38164.88,38261.39,30261.13,35455.58,36225.51599999998,17244.64453124999,24389.078599999997,31056.186666666697,14828.235499999988,40786.96425433,14640.88071672257
1610409600,35449.71,36639.23,32479.91,34035.02,36407.36499999998,17430.38554687499,24702.112,31541.897142857168,14952.619299999988,18267.87445007,14977.175970659571
1610496000,34035.02,37800,32327.76,37393.49,36836.93099999998,17641.45078124999,25066.764800000004,32215.50571428574,15094.540249999987,13662.38216261,15301.020976043572
